915;0,000000;52
916;0,000000;54
917;0,000000;66
918;0,000000;51
919;0,000000;49
920;0,000000;44
921;0,000000;45
922;0,000000;59
923;0,000000;61
924;0,000000;53
925;0,000000;46
926;0,000000;42
927;0,000000;54
928;0,000000;55
929;0,000000;66
930;0,000000;46
931;0,000000;50
932;0,000000;51
933;0,000000;50
934;0,000000;47
935;0,000000;45
936;0,000000;54
937;0,000000;47
938;0,000000;47
939;0,000000;42
940;0,000000;43
941;0,000000;40
942;0,000000;39
943;0,000000;48
944;0,000000;43
945;0,000000;49
946;0,000000;43
947;0,000000;51
948;0,000000;54
949;0,000000;52
950;0,000000;46
951;0,000000;44
952;0,000000;59
953;0,000000;50
954;0,000000;51
955;0,000000;44
956;0,000000;60
957;0,000000;49
958;0,000000;54
959;0,000000;36
960;0,000000;53
961;0,000000;53
962;0,000000;53
963;0,000000;50
964;0,000000;43
965;0,000000;51
966;0,000000;56
967;0,000000;51
968;0,000000;57
969;0,000000;46
970;0,000000;48
971;0,000000;55
972;0,000000;46
973;0,000000;55
974;0,000000;59
975;0,000000;67
976;0,000000;61
977;0,000000;58
978;0,000000;46
979;0,000000;57
980;0,000000;48
981;0,000000;54
982;0,000000;67
983;0,000000;54
984;0,000000;53
985;0,000000;71
986;0,000000;60
987;0,000000;58
988;0,000000;52
989;0,000000;59
990;0,000000;66
991;0,000000;47
992;0,000000;64
993;0,000000;59
994;0,000000;53
995;0,000000;58
996;0,000000;67
997;0,000000;68
998;0,000000;59
999;0,000000;56
1000;0,000000;60
1001;0,000000;74
1002;0,000000;69
1003;0,000000;75
1004;0,000000;72
1005;0,000000;63
1006;0,000000;68
1007;0,000000;77
1008;0,000000;74
1009;0,000000;67
1010;0,000000;83
1011;0,000000;74
1012;0,000000;77
1013;0,000000;72
1014;0,000000;71
1015;0,000000;99
1016;0,000000;86
1017;0,000000;89
1018;0,000000;84
1019;0,000000;79
1020;0,000000;67
1021;0,000000;74
1022;0,000000;90
1023;0,000000;93
1024;0,000000;80
1025;0,000000;104
1026;0,000000;92
1027;0,000000;83
1028;0,000000;96
1029;0,000000;73
1030;0,000000;100
1031;0,000000;102
1032;0,000000;90
1033;0,000000;106
1034;0,000000;96
1035;0,000000;134
1036;0,000000;107
1037;0,000000;95
1038;0,000000;99
1039;0,000000;105
1040;0,000000;96
1041;0,000000;104
1042;0,000000;114
1043;0,000000;96
1044;0,000000;113
1045;0,000000;121
1046;0,000000;121
1047;0,000000;112
1048;0,000000;124
1049;0,000000;130
1050;0,000000;134
1051;0,000000;132
1052;0,000000;118
1053;0,000000;137
1054;0,000000;140
1055;0,000000;121
1056;0,000000;117
1057;0,000000;136
1058;0,000000;129
1059;0,000000;128
1060;0,000000;150
1061;0,000000;115
1062;0,000000;154
1063;0,000000;158
1064;0,000000;136
1065;0,000000;122
1066;0,000000;131
1067;0,000000;145
1068;0,000000;145
